concept,instrument,class,year,trades,expR,totR,pf
TSMomentum,EURUSD,forex,2018,51,-0.1153077058697135,-5.8806929993553885,0.811729862852945
TSMomentum,EURUSD,forex,2019,49,-0.07685287622202278,-3.7657909348791163,0.8608394592895989
TSMomentum,EURUSD,forex,2020,46,0.19551977184996777,8.993909505098518,1.341963495967408
TurnOfMonth,EURUSD,forex,2015,11,0.1374508806773285,1.5119596874506134,1.5617795464889472
TurnOfMonth,EURUSD,forex,2016,12,0.6066727900713981,7.280073480856776,8.447988159363966
TurnOfMonth,EURUSD,forex,2017,12,0.03580364385867261,0.4296437263040713,1.2228711259336094
TurnOfMonth,EURUSD,forex,2018,12,-0.11740011455662595,-1.4088013746795114,0.5950253921603594
TurnOfMonth,EURUSD,forex,2019,13,0.03596487094715855,0.46754332231306117,1.099349835481971
TurnOfMonth,EURUSD,forex,2020,12,0.2914370920824663,3.4972451049895956,2.1314689214393354
ShortTermReversal,EURUSD,forex,2015,33,-0.024023186741211934,-0.7927651624599938,0.9562283615993774
ShortTermReversal,EURUSD,forex,2016,56,-0.14345729403119645,-8.033608465747001,0.7512287938355862
ShortTermReversal,EURUSD,forex,2017,50,0.061149790663811335,3.0574895331905667,1.1210613137527512
ShortTermReversal,EURUSD,forex,2018,51,0.0727965652109666,3.712624825759297,1.1630035969751622
ShortTermReversal,EURUSD,forex,2019,51,0.05149309014913358,2.6261475976058124,1.0923468936621152
ShortTermReversal,EURUSD,forex,2020,49,0.3406203903206423,16.690399125711473,1.688110125645942
VolContraction,EURUSD,forex,2015,28,0.19460013196351275,5.448803694978357,1.3363008202810238
VolContraction,EURUSD,forex,2016,27,-0.13200206768439882,-3.5640558274787684,0.7801936014239401
VolContraction,EURUSD,forex,2017,31,0.01695627267426024,0.5256444529020674,1.030459708704586
VolContraction,EURUSD,forex,2018,26,-0.4690484046740052,-12.195258521524135,0.3317465988435454
VolContraction,EURUSD,forex,2019,28,-0.04969760020064416,-1.3915328056180365,0.9284255793205206
VolContraction,EURUSD,forex,2020,33,0.1656499335466701,5.4664478070401135,1.414424874620514
