month,ret_pct,efficiency,adx,atr_pct
2025-01,6.652423905730975,0.4717945113643737,26.766345473262213,0.5990509978464285
2025-02,2.308038008340052,0.15048318145629172,46.790161936612,1.0960311038115076
2025-03,8.699899115448705,0.5955463984394749,33.851549704654595,1.137981880033114
2025-04,5.0576918508454805,0.14591941168025863,39.70571939812652,1.8338380958898166
2025-05,1.6036676444374454,0.05655595891276574,26.340093148435475,2.149599592465779
2025-06,0.07139113003729047,0.003982076443060069,15.768898879452369,1.6702853211436497
2025-07,-1.4835786241246263,0.10563770873686983,11.626021680627888,1.2837752124743056
2025-08,2.5356699405934657,0.2302855475966678,10.67934273319572,1.1022255228789362
2025-09,11.032016706118043,0.6533655646726352,40.263614953194825,1.1049058532807698
2025-10,3.581001588076105,0.0993711902562504,55.249727348254346,1.8520500379057128
2025-11,6.09056310757683,0.3001909867151521,23.622967736912106,2.0532859426148042
2025-12,2.162896522749569,0.14142306270465835,29.63117482218196,1.4377304825397792
2026-01,12.588260053061262,0.28326674937258933,35.30986876165081,1.725454060204143
2026-02,11.296980331080642,0.2699569721019157,25.394449516441956,3.6467641719469785
2026-03,-12.818606360849127,0.3291846758068718,21.225752784510398,3.120891006894023
2026-04,-3.288313768971196,0.11086240567537024,23.321161194660153,2.940850737260171
2026-05,-1.6088017100901242,0.06634025221147596,15.708587649531005,2.1180203224422938
2026-06,-10.676889077697238,0.35748525349062915,34.55634130890433,2.322754155130501
2026-07,0.20396505084876448,0.007591200479638455,36.055356560728384,2.167679130598184
2026-08,10.70684884441473,0.47527125364939693,26.822913804460747,1.9282685998589406
