year,trades,win_rate,expectancy_R,total_R,avg_win_R,avg_loss_R,pf,max_dd_pct,final
2015,71,0.28169014084507044,-0.2684159126188042,-19.0575297959351,1.6587067815982288,-1.0241503025078367,0.6351345560244098,13.813714315683908,5395.584910016092
2016,80,0.45,0.14675353950936393,11.740283160749115,1.5732032420514346,-1.020341671661421,1.2615051650838511,7.304305338934462,6412.15924604643
2017,87,0.4482758620689655,0.012488171239192129,1.0864708978097153,1.2895125297186507,-1.0250941200253678,1.0220807142767296,12.394193548880251,6021.354458422503
2018,83,0.3493975903614458,-0.3266522184253985,-27.112134129308075,0.9732319523560197,-1.0247381619931972,0.5100440516691885,17.81838325350746,5104.189703777401
2019,81,0.30864197530864196,-0.10308810134524887,-8.350136208965159,1.9604841256899193,-1.0243257027002348,0.8544314813471701,11.167148511139931,5691.446455856728
2020,76,0.3815789473684211,0.1244972689601807,9.461792440973733,1.9722517675034108,-1.0156065705664932,1.1982211799539502,10.53323502785745,6229.635045828259
2021,71,0.4225352112676056,0.18752094957864948,13.313987420084114,1.8341042065616953,-1.0172960677260183,1.319210317224301,5.667552862832546,6708.946128927028
2022,86,0.29069767441860467,-0.28178804145716535,-24.23377156531622,1.508223222914383,-1.0153992153799312,0.6087499993339461,18.110153889969897,5094.3202633573765
2023,79,0.4177215189873418,0.035825085939062716,2.8301817891859544,1.5034363292322999,-1.0170264581626072,1.0604956641741794,11.266451821648053,6204.504416784905
2024,78,0.3717948717948718,0.021139561936489918,1.6488858310462136,1.7701482714879408,-1.0139880416755933,1.0331865168648675,9.731050652944262,6011.502999943982
2025,57,0.543859649122807,0.2462485073089088,14.0361649166078,1.301735533577971,-1.0122167932426658,1.533336830999587,6.334782818531622,6711.30128231642
2026,19,0.6842105263157895,1.0828611811757434,20.574362442339122,2.0485435924375404,-1.0094507098914842,4.396956754258109,2.7568904970574253,7098.636105913119
