month,A1,A2,A3,A4,n_pos
2025-02,0.08351746639688519,-0.0018775921597606585,0.18622021162616442,0.21925273931558725,3
2025-03,0.3752136260258523,0.5051847567490858,-0.09369709241128302,0.6017592424080517,3
2025-04,0.8118424724447758,0.4940791617292342,1.2129837269632833,2.0466167612828934,4
2025-05,0.7672894805600329,0.1797155563126275,0.630736149360769,-0.030732736630214506,3
2025-06,-0.459051290362464,0.15408585404686195,-0.17797933037015257,0.8027206215845103,2
2025-07,0.4128563775970508,0.08691176404251978,-0.3742053632640068,-0.13161943822371586,2
2025-08,0.15864145561547835,-0.14351234773369692,0.2404328306665747,-0.6285221622474167,2
2025-09,1.1991358959069998,0.7884294697764025,1.903018727935896,0.9596749740619276,4
2025-10,0.5677645520118902,0.6871454092082545,0.8227681814750816,1.1665861255568537,4
2025-11,0.1636425826493839,0.26949870763592937,0.2125636254633508,-1.0049162420589788,3
2025-12,-0.051763063121613474,-0.26535076255762835,0.7864846021556244,-0.14373654834608812,1
2026-01,0.6313408388020599,0.668873277966017,1.1355055843685504,1.8546103393513709,4
2026-02,0.2833701859035604,-0.31623943828670803,0.6640587073430329,-0.4283660900269677,2
2026-03,0.31205998357323417,0.6700843399005824,1.038865612672178,0.5473206486815997,4
2026-04,-0.1487381801716586,0.38884820050234414,-0.19123561478589216,-0.5448089704326735,1
2026-05,-0.3833823343515991,-0.4829997961229581,-0.6103529294604547,0.13170289573166225,1
2026-06,0.15226095506333542,0.0739209667889501,0.5756785370672637,0.19149273375474057,4
2026-07,-0.19257922386496382,-0.4278687303772575,-0.46044078465033833,-0.7180555901100986,0
2026-08,0.032863028564215885,0.14589982553792463,0.5868449919958286,0.5391058444972937,4
