hold,side,min_surp,weight,hard_stop,trail_stop,trades,sharpe,cagr,maxdd,t
40,short,0.0,0.1,,0.05,53,0.6435352355748528,0.005580856056967676,-0.025108073196516756,1.771577930748515
60,short,0.0,0.1,,0.05,53,0.6435352355748528,0.005580856056967676,-0.025108073196516756,1.771577930748515
90,short,0.0,0.05,0.15,0.05,53,0.6435352355748528,0.0027960595825644585,-0.012616454785445264,1.771577930748515
40,short,0.0,0.1,0.15,0.05,53,0.6435352355748528,0.005580856056967676,-0.025108073196516756,1.771577930748515
40,short,0.0,0.05,,0.05,53,0.6435352355748528,0.0027960595825644585,-0.012616454785445264,1.771577930748515
40,short,0.0,0.2,,0.05,53,0.6435352355748528,0.011116108132639413,-0.0497198698529534,1.771577930748515
40,short,0.0,0.05,0.15,0.05,53,0.6435352355748528,0.0027960595825644585,-0.012616454785445264,1.771577930748515
90,short,0.0,0.05,,0.05,53,0.6435352355748528,0.0027960595825644585,-0.012616454785445264,1.771577930748515
60,short,0.0,0.2,,0.05,53,0.6435352355748528,0.011116108132639413,-0.0497198698529534,1.771577930748515
60,short,0.0,0.1,0.15,0.05,53,0.6435352355748528,0.005580856056967676,-0.025108073196516756,1.771577930748515
60,short,0.0,0.2,0.15,0.05,53,0.6435352355748528,0.011116108132639413,-0.0497198698529534,1.771577930748515
60,short,0.0,0.05,0.15,0.05,53,0.6435352355748528,0.0027960595825644585,-0.012616454785445264,1.771577930748515
90,short,0.0,0.2,,0.05,53,0.6435352355748528,0.011116108132639413,-0.0497198698529534,1.771577930748515
90,short,0.0,0.1,,0.05,53,0.6435352355748528,0.005580856056967676,-0.025108073196516756,1.771577930748515
90,short,0.0,0.2,0.15,0.05,53,0.6435352355748528,0.011116108132639413,-0.0497198698529534,1.771577930748515
40,short,0.0,0.2,0.15,0.05,53,0.6435352355748528,0.011116108132639413,-0.0497198698529534,1.771577930748515
40,short,0.0,0.1,0.05,,53,0.6390017613422478,0.010812032496089419,-0.031815125719127146,1.759097801524626
40,short,0.0,0.2,0.05,,53,0.6390017613422478,0.02144355401684095,-0.0631964787206335,1.759097801524626
40,short,0.0,0.05,0.05,,53,0.6390017613422478,0.005428077699807021,-0.01596037598485056,1.759097801524626
20,short,0.0,0.2,0.1,0.05,53,0.634505286925968,0.01134384857036852,-0.0455067434084907,1.7467195285075456
20,short,0.0,0.05,0.1,0.05,53,0.634505286925968,0.002854677234624292,-0.01154714224568909,1.7467195285075456
20,short,0.0,0.1,0.1,0.05,53,0.634505286925968,0.00569700240121751,-0.022980036446611618,1.7467195285075456
90,both,0.1,0.1,0.1,,101,0.6197876864221538,0.02490709612873232,-0.08550584775828152,1.7062036797943982
90,both,0.1,0.2,0.1,,101,0.6197876864221538,0.048675132587202796,-0.1677011133022669,1.7062036797943982
90,both,0.1,0.05,0.1,,101,0.6197876864221538,0.012589764344238974,-0.04313490797889674,1.7062036797943982
60,long,0.1,0.05,0.1,,78,0.6003575582379865,0.01039086184436444,-0.02797000653097692,1.6527147884644044
60,long,0.1,0.2,0.1,,78,0.6003575582379865,0.040315209055764356,-0.10901594329512254,1.6527147884644044
60,long,0.1,0.1,0.1,,78,0.6003575582379865,0.02057863926869663,-0.055465163652791416,1.6527147884644044
90,short,0.02,0.2,,0.05,44,0.5998778711130155,0.0094270124748288,-0.04762271081309599,1.651394265395448
60,short,0.02,0.05,,0.05,44,0.5998778711130155,0.002372101041153929,-0.012095340234999807,1.651394265395448
